Sample	bwa	samtools	deeptools	fastqc	bedtools	picard	trimgalore	cutadapt	pigz	nf-core/sammyseq	Nextflow
BWAMEM1_MEM	0.7.18-r1243-dirty	1.21									
BWA_INDEX	0.7.18-r1243-dirty										
DEEPTOOLS_BAMCOVERAGE			3.5.5								
DEEPTOOLS_MULTIBIGWIGSUMMARY			3.5.6								
DEEPTOOLS_PLOTCORRELATION			3.5.5								
DEEPTOOLS_PLOTPCA			3.5.5								
FastQC				0.12.1							
GENOME_BLACKLIST_REGIONS					2.30.0						
PICARD_MARKDUPLICATES						3.3.0					
SAMTOOLS_FAIDX_CHROM_SIZES		1.21									
SAMTOOLS_FAIDX_FAI		1.21									
SAMTOOLS_FLAGSTAT		1.21									
SAMTOOLS_IDXSTATS		1.21									
SAMTOOLS_INDEX		1.21									
SAMTOOLS_STATS		1.21									
TRIMGALORE							0.6.10	4.9	2.8		
Workflow										v1.0dev	25.10.0
